Index       TIME             V(CLK0)           V(CSB0)           V(WEB0)         V(DOUT0_0)        V(DOUT0_1)        V(DOUT0_2)        V(DOUT0_3)    
2798     8.92177624e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    8.36660715e-01    1.39444190e+00    1.39444190e+00    1.39444190e+00
2799     8.93119211e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    1.57409258e+00    1.70523169e+00    1.70523169e+00    1.70523169e+00
2800     8.93946541e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    1.78173536e+00    1.78364729e+00    1.78364729e+00    1.78364729e+00
2801     8.94684322e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    1.78686600e+00    1.78863987e+00    1.78863987e+00    1.78863987e+00
2802     8.95314100e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    1.80342511e+00    1.80329316e+00    1.80329316e+00    1.80329316e+00
2803     8.95943878e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    1.79757681e+00    1.79763883e+00    1.79763883e+00    1.79763883e+00
2804     8.96573656e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    1.80186361e+00    1.80182974e+00    1.80182974e+00    1.80182974e+00
2805     8.97203435e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    1.79842368e+00    1.79844539e+00    1.79844539e+00    1.79844539e+00
2806     8.98462991e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    1.80142113e+00    1.80140325e+00    1.80140325e+00    1.80140325e+00
2807     8.99722547e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    1.79868088e+00    1.79869618e+00    1.79869618e+00    1.79869618e+00
2808     9.02241659e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    1.80125940e+00    1.80124520e+00    1.80124520e+00    1.80124520e+00
2809     9.04760772e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    1.79878920e+00    1.79880251e+00    1.79880251e+00    1.79880251e+00
2810     9.09798996e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    1.80118526e+00    1.80117239e+00    1.80117239e+00    1.80117239e+00
2811     9.10000000e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    1.79926444e+00    1.79927193e+00    1.79927193e+00    1.79927193e+00
2812     9.10050000e-08    1.80000000e-01    0.00000000e+00    1.80000000e+00    1.79972311e+00    1.79972312e+00    1.79972312e+00    1.79972312e+00
2813     9.10100000e-08    3.60000000e-01    0.00000000e+00    1.80000000e+00    1.79988927e+00    1.79988971e+00    1.79988971e+00    1.79988971e+00
2814     9.10200000e-08    7.20000000e-01    0.00000000e+00    1.80000000e+00    1.80002222e+00    1.80002301e+00    1.80002301e+00    1.80002301e+00
2815     9.10400000e-08    1.44000000e+00    0.00000000e+00    1.80000000e+00    1.79998422e+00    1.79998392e+00    1.79998392e+00    1.79998392e+00
2816     9.10500000e-08    1.80000000e+00    0.00000000e+00    1.80000000e+00    1.80000412e+00    1.80000415e+00    1.80000415e+00    1.80000415e+00
2817     9.10520000e-08    1.80000000e+00    0.00000000e+00    1.80000000e+00    1.80000184e+00    1.80000186e+00    1.80000186e+00    1.80000186e+00
2818     9.10540000e-08    1.80000000e+00    0.00000000e+00    1.80000000e+00    1.80000078e+00    1.80000079e+00    1.80000079e+00    1.80000079e+00
2819     9.10580000e-08    1.80000000e+00    0.00000000e+00    1.80000000e+00    1.79999985e+00    1.79999985e+00    1.79999985e+00    1.79999985e+00
2820     9.10660000e-08    1.80000000e+00    0.00000000e+00    1.80000000e+00    1.79999990e+00    1.79999991e+00    1.79999991e+00    1.79999991e+00
2821     9.10740000e-08    1.80000000e+00    0.00000000e+00    1.80000000e+00    1.79999995e+00    1.79999995e+00    1.79999995e+00    1.79999995e+00
2822     9.10900000e-08    1.80000000e+00    0.00000000e+00    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.80000000e+00
2823     9.11060000e-08    1.80000000e+00    0.00000000e+00    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.80000000e+00
2824     9.11220000e-08    1.80000000e+00    0.00000000e+00    1.80000000e+00    1.80000001e+00    1.80000001e+00    1.80000001e+00    1.80000001e+00
2825     9.11380000e-08    1.80000000e+00    0.00000000e+00    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.80000000e+00
2826     9.11540000e-08    1.80000000e+00    0.00000000e+00    1.80000000e+00    1.80000001e+00    1.80000001e+00    1.80000001e+00    1.80000001e+00
2827     9.11684000e-08    1.80000000e+00    0.00000000e+00    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.80000000e+00
2828     9.11828000e-08    1.80000000e+00    0.00000000e+00    1.80000000e+00    1.80000001e+00    1.80000001e+00    1.80000001e+00    1.80000001e+00
2829     9.11972000e-08    1.80000000e+00    0.00000000e+00    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.80000000e+00
2830     9.12116000e-08    1.80000000e+00    0.00000000e+00    1.80000000e+00    1.80000001e+00    1.80000000e+00    1.80000000e+00    1.80000000e+00
2831     9.12404000e-08    1.80000000e+00    0.00000000e+00    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.80000000e+00
2832     9.12692000e-08    1.80000000e+00    0.00000000e+00    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.80000000e+00
2833     9.13268000e-08    1.80000000e+00    0.00000000e+00    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.80000000e+00
2834     9.14420000e-08    1.80000000e+00    0.00000000e+00    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.80000000e+00
2835     9.15572000e-08    1.80000000e+00    0.00000000e+00    1.80000000e+00    1.79999999e+00    1.79999999e+00    1.79999999e+00    1.79999999e+00
2836     9.16724000e-08    1.80000000e+00    0.00000000e+00    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.80000000e+00
2837     9.17641645e-08    1.80000000e+00    0.00000000e+00    1.80000000e+00    1.79999999e+00    1.79999999e+00    1.79999999e+00    1.79999999e+00
2838     9.18559290e-08    1.80000000e+00    0.00000000e+00    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.80000000e+00
2839     9.19342251e-08    1.80000000e+00    0.00000000e+00    1.80000000e+00    1.79999999e+00    1.79999999e+00    1.79999999e+00    1.79999999e+00
2840     9.20125212e-08    1.80000000e+00    0.00000000e+00    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.80000000e+00
2841     9.20908173e-08    1.80000000e+00    0.00000000e+00    1.80000000e+00    1.79999999e+00    1.79999999e+00    1.79999999e+00    1.79999999e+00
2842     9.21691134e-08    1.80000000e+00    0.00000000e+00    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.80000000e+00
2843     9.23257056e-08    1.80000000e+00    0.00000000e+00    1.80000000e+00    1.79999999e+00    1.79999999e+00    1.79999999e+00    1.79999999e+00
2844     9.24822978e-08    1.80000000e+00    0.00000000e+00    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.80000000e+00
2845     9.26388900e-08    1.80000000e+00    0.00000000e+00    1.80000000e+00    1.79999999e+00    1.79999999e+00    1.79999999e+00    1.79999999e+00
2846     9.27954822e-08    1.80000000e+00    0.00000000e+00    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.80000000e+00
2847     9.29364152e-08    1.80000000e+00    0.00000000e+00    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.80000000e+00
2848     9.29542169e-08    1.80000000e+00    0.00000000e+00    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.80000000e+00
2849     9.29898202e-08    1.80000000e+00    0.00000000e+00    1.80000000e+00    1.79999983e+00    1.79999983e+00    1.79999983e+00    1.79999983e+00
2850     9.30254236e-08    1.80000000e+00    0.00000000e+00    1.80000000e+00    1.79999873e+00    1.79999873e+00    1.79999873e+00    1.79999873e+00
2851     9.30574666e-08    1.80000000e+00    0.00000000e+00    1.80000000e+00    1.80002280e+00    1.80002280e+00    1.80002280e+00    1.80002280e+00
2852     9.30863054e-08    1.80000000e+00    0.00000000e+00    1.80000000e+00    1.79991137e+00    1.79991138e+00    1.79991138e+00    1.79991138e+00
2853     9.31122602e-08    1.80000000e+00    0.00000000e+00    1.80000000e+00    1.79963384e+00    1.79963391e+00    1.79963391e+00    1.79963391e+00
2854     9.31382150e-08    1.80000000e+00    0.00000000e+00    1.80000000e+00    1.79973421e+00    1.79973435e+00    1.79973435e+00    1.79973435e+00
2855     9.31641699e-08    1.80000000e+00    0.00000000e+00    1.80000000e+00    1.79984845e+00    1.79984829e+00    1.79984829e+00    1.79984829e+00
2856     9.31901247e-08    1.80000000e+00    0.00000000e+00    1.80000000e+00    1.79976887e+00    1.79976622e+00    1.79976622e+00    1.79976622e+00
2857     9.32134841e-08    1.80000000e+00    0.00000000e+00    1.80000000e+00    1.79965031e+00    1.79964929e+00    1.79964929e+00    1.79964929e+00
2858     9.32368435e-08    1.80000000e+00    0.00000000e+00    1.80000000e+00    1.79927262e+00    1.79927544e+00    1.79927544e+00    1.79927544e+00
